"location_name","location_type","location_fips_code","population","state","county","metro","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06","2023_07","2023_08","2023_09","2023_10","2023_11","2023_12","2024_01","2024_02","2024_03","2024_04","2024_05","2024_06","2024_07","2024_08","2024_09","2024_10","2024_11","2024_12","2025_01","2025_02","2025_03","2025_04"
"United States","National",0,326569308,,,,33.3,33.3,31.7,29,26.7,25,25,25.7,27.7,29.3,31.3,33.3,34.7,34.3,31.7,30,28.7,28,26.7,26,27,28.7,30.7,32.3,33.7,32.7,29.7,25,21.3,19,18,18.3,19,20.7,22.7,25,26.3,26,24.3,22.3,21,20.3,20.3,20.7,22,23.3,25.7,28,30,29.7,28.3,26.3,25.3,24.7,25,26,27.3,28.7,31,33,34.3,33,31,28.7,27,26,26.3,27.7,29.7,31.7,33.7,35.7,37,36,33.3,30
"California","State",6,39356104,"California",,,29.7,29.3,28,26.3,24.3,22.7,22,22.3,24,25.3,28,30.3,32.3,31.7,29,29,28.3,27.3,23.3,22,23.3,25.7,27.7,29.7,31,30.3,28.7,26,24,21,18.7,18,20.7,25,27.7,29,29,29,28.3,27.3,25.7,23.7,22,22.3,23.7,25.3,27.3,29,31,31,30.7,29,27.7,26.3,25.7,25.7,26.3,27.7,30.7,33,34.3,33,31.3,29.3,28,26.3,26,26.7,28.3,29.7,31.3,33,34,32.7,30.3,28.3
"Texas","State",48,29243342,"Texas",,,38,38,36.7,34,31.7,30,30,30.3,31.7,33.3,35,36.7,37.7,37.7,36,34.3,33,32,31,30.7,32,33.7,36,37,38.3,37.3,34.3,28.7,23.7,20.7,19.3,19.3,19.7,21.3,23,24.7,25.3,24.3,23.3,22.3,22.7,22.7,22,21,21.3,23,25.7,28.3,30,30.3,29.3,28,27.3,27.3,28,29,30.3,31.3,32.7,34,35.3,34.7,33.3,31.3,30,29.3,30,31,32.3,33.7,36,38,39.7,39,37,34
"Florida","State",12,21634529,"Florida",,,30.3,29.7,29,27.3,26,26,27.3,28,29.3,29,30.7,31.3,32.7,32,29.7,29,28.3,27.7,26,25.3,26.3,27.3,28.3,28.7,29.7,28,25.3,20.7,17.3,15,14,14.3,14.3,14.3,14.3,15.3,17,17.7,17.7,17,17.7,18.3,19.7,19.7,20.3,21,22.7,23.3,24,23.3,23,22,21.7,21.7,22.3,23.7,25,25.7,26.7,27.7,28.7,28.3,27,25,24,24.3,26,27,28.3,30,31.3,32.7,32.7,32.3,30.7,28.7
"New York","State",36,19994379,"New York",,,34,34.7,33,28.3,25.3,23.7,23.7,25.7,29.2,32.8,35.8,36.8,38.2,37.3,36.2,34.8,32.3,30.3,26.3,26.3,27.7,32,37,39.3,41,39.3,36.7,31.7,26.3,23,21,21.3,24.7,27.7,31.3,30.3,31.7,32.3,31.3,28.7,23,21.7,21,22.7,26.3,28,31.7,33.3,37.3,36.3,35,30.3,26.7,23,22.7,25.5,29.2,31.5,35.3,37,37.3,34.7,31.8,29.3,27,26.2,28.3,30.7,34.7,36,38,37.7,39,38.3,35,29.3
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","Metro",35620,19908595,,,,38.5,38.2,35.7,31,28,25.7,26.7,29,32.3,34.8,36.8,37.2,38,37.3,35.7,33.3,31,29,27,26.7,29.3,33,38.2,39.5,41.5,40,39,34.7,30,26.7,24.3,24.7,26.5,28.5,30.8,31.7,33.3,32.7,31.3,28.3,24.7,22.3,23,25,29,30,33,34.7,37.3,36,32.7,29.7,27.3,25.3,25.7,27.3,30.7,32.3,36,37,37.7,36,34,31,28.3,27.3,29.3,31.7,35.7,37.7,40.3,41.3,41.3,39.3,35.5,30.8
"Los Angeles-Long Beach-Anaheim, CA Metro Area","Metro",31080,13111917,,,,30.2,30,29,28,25.7,23.8,23.5,24.2,25.7,27,29.7,32.3,34,33,30,30,30,29.7,26,24,24.3,26.7,29,31.7,33.3,32.7,31.7,29.3,27,22.7,19,17.7,19,22.3,25.7,28,29.3,28.8,28.2,26.8,25.3,23.3,21.3,21,22.3,24,27.3,30,32,31.3,30.3,29.3,28.3,27.7,26.7,26.3,26,27.3,29.7,32,33.3,32.7,31.7,30,28.7,27,26.7,27.7,29,30,31.7,34,35.3,33.7,31,28.7
"Pennsylvania","State",42,12989208,"Pennsylvania",,,39.7,40.7,35.7,30,27,26.3,26.7,27,26.7,30.3,32.3,36.7,37,38.3,34.7,30,25.7,26,27.3,29,31,34,37.3,40,43.3,42,38.3,29.3,23.3,19.3,19.3,19.7,20.7,20.3,21.3,23,25.3,26.7,26.7,24,21.3,19.7,20.7,22.3,25.7,29,33,36,37.3,36.7,33.7,30.3,28.3,28,31,34,36,37.7,39.7,42.3,45.7,43.8,40.2,32.8,29.3,28.8,30.2,32.5,34.3,37.3,40.3,41.7,44,44.3,41,33.7
"Illinois","State",17,12757634,"Illinois",,,39.7,43,40.7,36,28,24.8,24.2,26.2,29.7,32.7,35.5,38.5,39.8,39,32.7,28.3,26,27.7,28.7,29.7,31.3,35.7,39,43.3,44.7,44,39,32.3,26,22,22,24.7,28.2,31.5,35,38.8,38.7,35.5,30.8,27.3,24.7,22.7,23,25.3,27,28.3,29,33,34.3,33,28.7,24.7,23,22.3,24,27.3,30.7,33.2,36.8,36.7,38.5,34.8,33,27.3,24.7,23.3,25.3,27.7,30.3,31.7,33.3,35.7,37.3,35,30.7,25
"Ohio","State",39,11774683,"Ohio",,,33,33.7,30,25,20.3,17.3,16.7,16.3,19.3,21.7,26,28,30,30,27.3,26,24,23.7,21.7,21.7,23,24.7,27.3,30.3,33.7,32.3,28.3,22,17,14,12.3,12.7,12.3,16.7,21.3,23.7,23,22,21,18.3,15.7,15.3,16.3,17.7,19,20,21.7,25.7,28.7,29,27,23.7,21.7,20.2,20.2,21.2,23.3,26.3,30.3,33,33.7,32,30,27.7,25.3,23.8,24.2,26.2,28.3,31.3,34.2,39.2,40.5,40,34.3,31.3
